AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-22,-64,-30,-115,-6,-1,-443,13,-83,-433,-147,-293,-1367,-25
-21,-67,-23,-115,-17,-2,-443,23,-81,-433,-148,-292,-1365,-21
-24,-74,-34,-115,-39,-17,-443,20,-86,-433,-163,-294,-1354,-35
-22,-69,-42,-115,-40,-11,-443,13,-90,-433,-164,-292,-1352,-39
-20,-70,-41,-115,-37,-4,-443,18,-88,-434,-161,-291,-1357,-32
-21,-80,-46,-115,-45,-16,-443,24,-90,-432,-175,-298,-1363,-38
-24,-81,-53,-115,-47,-21,-443,19,-99,-432,-188,-299,-1366,-47
-28,-70,-51,-114,-32,-1,-443,22,-87,-431,-173,-290,-1361,-40
-25,-59,-48,-119,-21,18,-443,32,-68,-430,-157,-289,-1355,-31
-16,-64,-52,-121,-22,11,-443,23,-77,-429,-164,-290,-1351,-35
-21,-73,-55,-117,-21,-1,-443,11,-93,-430,-168,-291,-1349,-37
-25,-72,-53,-115,-13,3,-443,19,-85,-433,-160,-303,-1346,-34
-21,-68,-53,-118,-19,6,-443,17,-79,-434,-164,-309,-1345,-33
-32,-73,-55,-119,-29,1,-443,-2,-90,-434,-181,-306,-1347,-35
-35,-78,-57,-118,-20,-2,-443,-8,-90,-433,-186,-309,-1348,-38
-19,-74,-45,-118,-11,1,-443,10,-73,-432,-174,-303,-1344,-39
-17,-68,-25,-116,-11,18,-443,28,-59,-432,-156,-294,-1343,-33
-24,-65,-18,-117,-11,26,-443,27,-57,-431,-158,-298,-1347,-27
-20,-70,-27,-117,-13,9,-443,18,-62,-431,-179,-301,-1348,-31
-18,-65,-27,-115,-12,14,-443,23,-58,-431,-176,-301,-1345,-35
-21,-40,-17,-115,-6,39,-443,30,-50,-432,-157,-301,-1345,-31
-23,-45,-31,-115,-9,25,-443,25,-53,-432,-163,-295,-1346,-29
-28,-73,-54,-114,-16,3,-443,24,-67,-433,-184,-299,-1346,-35
-25,-62,-53,-117,-11,21,-443,24,-63,-434,-181,-309,-1345,-38
-18,-41,-45,-120,-8,37,-443,27,-42,-433,-164,-305,-1345,-35
-18,-59,-51,-117,-9,26,-443,30,-38,-433,-157,-302,-1351,-34
-21,-78,-52,-116,-8,2,-444,18,-52,-433,-147,-294,-1348,-34
