AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
228,-39,-82,-694,-74,41,-812,-6,-27,-305,-113,-755,-1362,-68
223,-43,-61,-693,-81,28,-815,-6,-30,-303,-114,-755,-1369,-70
218,-43,-58,-693,-81,25,-813,-6,-38,-306,-122,-755,-1378,-63
219,-46,-64,-694,-77,29,-813,-9,-42,-306,-126,-754,-1378,-60
222,-44,-57,-693,-74,31,-815,-8,-33,-297,-118,-756,-1376,-60
225,-43,-53,-694,-71,36,-813,-2,-23,-299,-109,-755,-1375,-58
224,-62,-67,-693,-76,27,-810,-12,-34,-301,-118,-753,-1375,-62
218,-75,-82,-693,-96,1,-811,-23,-56,-298,-133,-761,-1374,-71
218,-71,-90,-694,-108,-8,-811,-21,-63,-301,-139,-774,-1368,-72
221,-72,-86,-694,-103,-3,-810,-25,-58,-309,-138,-774,-1367,-67
223,-77,-80,-693,-99,-4,-812,-21,-57,-306,-129,-770,-1376,-64
224,-72,-79,-693,-100,-1,-811,-7,-60,-304,-132,-772,-1378,-63
219,-68,-81,-694,-105,5,-808,-17,-58,-309,-146,-774,-1374,-66
212,-66,-82,-694,-104,4,-810,-35,-52,-309,-139,-773,-1376,-65
213,-64,-75,-693,-87,5,-813,-26,-49,-308,-124,-772,-1377,-55
217,-70,-76,-693,-83,3,-809,-20,-62,-307,-137,-773,-1374,-55
215,-75,-87,-694,-106,-9,-809,-35,-68,-307,-155,-774,-1374,-65
218,-71,-85,-693,-105,0,-812,-29,-57,-309,-143,-765,-1375,-65
224,-68,-74,-693,-84,23,-810,-16,-55,-308,-129,-752,-1374,-61
228,-70,-85,-693,-75,1,-816,-10,-60,-300,-102,-774,-1374,-55
224,-70,-84,-693,-77,-3,-814,-9,-63,-286,-118,-770,-1374,-64
212,-72,-79,-694,-85,0,-813,-7,-62,-289,-120,-773,-1375,-64
212,-73,-81,-694,-88,-10,-819,-6,-62,-302,-116,-773,-1373,-60
219,-74,-88,-693,-94,-21,-821,-9,-63,-308,-124,-770,-1376,-62
221,-74,-76,-693,-90,-7,-820,-6,-57,-306,-126,-771,-1376,-62
218,-74,-57,-694,-84,2,-820,0,-60,-297,-122,-771,-1365,-59
214,-85,-55,-694,-97,-19,-814,-17,-81,-295,-135,-772,-1364,-61
215,-104,-63,-693,-108,-36,-808,-36,-95,-305,-149,-770,-1375,-63
219,-99,-71,-693,-102,-28,-811,-24,-93,-308,-144,-771,-1375,-60
215,-75,-80,-694,-103,-23,-812,-6,-90,-306,-134,-774,-1366,-59
212,-70,-82,-694,-96,-17,-808,-7,-82,-306,-126,-764,-1367,-58
214,-80,-83,-694,-78,-12,-814,-11,-74,-308,-121,-754,-1370,-51
214,-78,-81,-693,-88,-18,-816,-7,-76,-306,-129,-757,-1368,-51
214,-69,-60,-693,-95,-13,-812,-6,-71,-306,-128,-758,-1367,-52
215,-70,-56,-696,-77,-7,-813,-4,-64,-305,-116,-754,-1369,-39
217,-74,-74,-686,-76,-12,-815,-3,-67,-306,-116,-756,-1368,-32
222,-70,-68,-676,-81,-8,-813,-3,-65,-310,-115,-756,-1365,-36
225,-67,-48,-688,-71,6,-818,-3,-51,-308,-104,-753,-1364,-32
217,-72,-61,-698,-75,-1,-824,-3,-59,-309,-109,-755,-1365,-37
215,-79,-84,-692,-95,-22,-816,-6,-84,-311,-129,-756,-1366,-58
223,-81,-83,-693,-103,-29,-811,-6,-85,-299,-135,-755,-1366,-65
226,-74,-77,-696,-101,-30,-813,-9,-75,-284,-129,-756,-1366,-57
223,-76,-81,-692,-101,-29,-815,-19,-84,-288,-130,-756,-1366,-55
219,-91,-87,-692,-106,-34,-812,-30,-96,-293,-146,-756,-1365,-59
218,-66,-87,-691,-78,21,-813,-5,-63,-312,-107,-755,-1378,-61
215,-71,-82,-700,-77,-5,-817,-8,-67,-307,-110,-758,-1378,-62
208,-72,-87,-693,-80,-8,-829,-8,-73,-301,-124,-757,-1378,-68
204,-71,-90,-692,-87,-2,-824,-9,-79,-305,-129,-756,-1378,-70
211,-66,-84,-696,-83,6,-810,-8,-73,-312,-117,-754,-1378,-67
216,-67,-79,-684,-73,10,-809,-6,-62,-309,-115,-761,-1378,-60
211,-70,-80,-676,-75,7,-813,-4,-62,-304,-120,-774,-1378,-58
210,-62,-85,-678,-76,13,-812,-7,-64,-306,-111,-777,-1378,-62
217,-45,-88,-682,-71,27,-812,-7,-48,-309,-101,-773,-1378,-68
213,-36,-83,-691,-70,32,-811,-5,-25,-308,-100,-764,-1378,-56
206,-42,-85,-691,-72,29,-810,-10,-21,-308,-94,-755,-1378,-43
216,-42,-106,-678,-71,11,-813,-17,-32,-309,-88,-753,-1378,-49
223,-42,-111,-675,-70,-2,-813,-24,-29,-308,-86,-756,-1378,-47
215,-56,-91,-680,-72,3,-813,-29,-22,-309,-82,-756,-1378,-39
212,-65,-95,-676,-76,-4,-813,-31,-36,-309,-95,-757,-1378,-52
218,-77,-118,-683,-85,-26,-812,-30,-58,-307,-115,-757,-1378,-66
214,-95,-110,-695,-98,-41,-820,-32,-73,-311,-120,-756,-1378,-62
214,-103,-88,-697,-103,-44,-822,-34,-83,-309,-121,-757,-1378,-62
224,-94,-83,-693,-103,-43,-811,-23,-91,-299,-130,-756,-1378,-67
219,-96,-84,-686,-106,-49,-808,-11,-100,-301,-141,-756,-1378,-69
208,-104,-89,-688,-110,-59,-812,-13,-109,-310,-151,-758,-1378,-70
208,-88,-91,-691,-108,-46,-806,-15,-102,-308,-155,-752,-1378,-68
217,-65,-85,-678,-102,-14,-819,1,-81,-290,-153,-756,-1378,-85
213,-66,-90,-681,-108,-21,-827,-1,-87,-304,-148,-756,-1377,-78
210,-67,-95,-679,-108,-29,-832,-7,-92,-309,-147,-756,-1378,-81
212,-63,-89,-677,-101,-24,-829,-7,-81,-303,-144,-756,-1380,-77
215,-63,-89,-681,-103,-22,-820,-5,-75,-307,-146,-756,-1381,-64
214,-67,-90,-683,-106,-28,-809,-7,-86,-309,-150,-756,-1380,-65
