AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
32,-8,-23,34,20,70,-184,28,22,-408,-75,-61,-437,21
33,-10,-22,34,20,61,-183,27,20,-410,-77,-61,-432,20
32,-5,-24,36,17,68,-183,29,18,-408,-76,-61,-438,4
28,-2,-27,35,20,70,-183,33,24,-405,-77,-61,-446,4
25,-6,-28,35,18,70,-183,34,29,-404,-87,-61,-442,20
28,9,-29,35,15,83,-183,32,32,-407,-93,-61,-439,25
30,17,-29,35,17,93,-182,31,33,-410,-84,-61,-441,21
29,-2,-27,35,19,82,-180,33,22,-409,-72,-61,-436,24
29,1,-24,35,21,74,-181,34,19,-410,-74,-61,-435,24
31,20,-23,35,18,77,-181,33,23,-414,-95,-62,-441,22
31,6,-24,35,15,72,-180,29,11,-412,-103,-61,-439,23
31,-10,-25,35,17,66,-183,29,1,-407,-85,-61,-442,22
31,0,-25,35,16,67,-186,33,14,-407,-70,-64,-444,22
30,-1,-26,35,8,63,-185,29,11,-408,-75,-64,-433,23
28,-9,-25,35,5,59,-183,23,-11,-407,-93,-62,-438,20
27,-3,-24,35,12,63,-182,29,-7,-407,-104,-60,-451,20
33,-1,-25,35,20,66,-184,35,3,-407,-88,-61,-448,25
38,-4,-28,35,21,65,-187,32,-7,-408,-70,-63,-445,27
30,-6,-28,35,16,63,-184,31,-15,-407,-76,-64,-449,22
24,5,-27,35,11,71,-179,34,-16,-408,-101,-64,-446,19
29,14,-27,35,11,87,-179,35,-15,-409,-121,-64,-444,21
32,4,-28,35,15,91,-179,31,-12,-411,-121,-64,-446,20
35,-4,-20,49,12,60,-180,45,46,-408,-91,-59,-434,20
34,-7,-20,49,7,58,-180,31,46,-408,-37,-59,-432,21
32,2,-10,49,13,70,-182,36,59,-408,5,-60,-432,23
30,19,-8,49,22,86,-183,51,74,-407,37,-62,-434,29
33,24,-16,49,20,93,-183,48,84,-406,60,-61,-434,30
36,9,-20,49,16,83,-183,41,76,-405,51,-59,-433,27
36,-5,-15,49,15,69,-183,52,60,-406,27,-59,-432,27
35,4,-4,49,20,78,-183,62,61,-410,32,-59,-433,30
36,15,-5,48,23,93,-183,50,66,-411,35,-58,-433,29
35,2,-16,48,15,74,-183,36,54,-409,-2,-59,-433,25
35,-12,-22,50,9,57,-183,43,42,-409,-41,-60,-433,22
37,5,-17,51,10,75,-183,59,47,-410,-57,-59,-433,26
34,23,-6,50,0,91,-184,59,50,-409,-70,-59,-433,29
31,20,6,51,-11,90,-184,54,46,-408,-79,-59,-433,25
32,13,5,53,0,89,-182,56,49,-410,-62,-59,-433,23
34,20,3,52,16,89,-183,54,58,-408,-46,-59,-433,27
35,25,4,49,20,99,-185,54,60,-405,-40,-59,-433,27
34,8,-7,52,16,93,-183,55,47,-408,-36,-59,-433,26
34,-11,-9,51,11,54,-182,41,30,-409,-43,-59,-433,28
35,-11,4,43,18,49,-184,30,33,-405,-59,-59,-433,29
30,-3,-1,45,16,85,-185,31,45,-407,-69,-59,-433,29
26,-4,-17,52,-6,95,-184,32,44,-412,-73,-59,-433,31
35,-7,-20,48,-7,82,-181,29,41,-409,-77,-60,-433,27
44,-4,-17,46,14,86,-178,29,47,-407,-59,-61,-433,28
40,-5,-18,52,19,91,-180,26,50,-408,-34,-61,-433,37
35,-4,-20,51,15,90,-181,34,50,-407,-31,-60,-433,38
38,-2,-19,48,16,93,-179,47,51,-408,-42,-61,-433,29
36,4,-22,49,14,86,-181,42,47,-410,-44,-62,-433,32
33,15,-21,49,18,88,-184,43,52,-411,-27,-61,-433,49
37,22,-10,49,29,107,-184,57,56,-409,-13,-59,-433,57
37,19,-7,48,26,107,-183,59,49,-409,-21,-59,-433,51
34,13,-11,48,22,91,-182,52,39,-409,-35,-60,-432,47
34,16,1,50,33,104,-180,54,34,-410,-37,-59,-433,56
35,21,9,50,33,124,-182,52,34,-411,-48,-59,-432,53
32,12,0,50,20,107,-184,46,33,-410,-66,-61,-431,32
30,-3,0,51,17,90,-184,54,33,-409,-64,-62,-435,24
29,0,-1,48,24,96,-184,56,34,-409,-50,-62,-435,32
30,17,-18,46,21,99,-184,39,35,-409,-42,-64,-434,33
34,16,-17,49,19,100,-181,25,34,-409,-41,-63,-446,29
31,0,-8,51,18,103,-180,29,34,-409,-38,-60,-448,32
30,-8,-18,49,17,94,-184,35,31,-409,-36,-61,-434,30
37,-6,-23,48,11,86,-178,33,20,-409,-38,-64,-431,29
38,-4,-16,49,0,88,-169,33,14,-409,-38,-62,-437,34
35,-5,-20,49,-3,91,-178,35,19,-409,-40,-60,-434,35
35,-5,-27,49,-4,88,-188,39,16,-409,-43,-62,-431,29
33,5,-28,49,-1,86,-181,45,15,-409,-27,-60,-436,28
33,22,-20,49,16,96,-179,56,38,-409,-8,-57,-435,36
42,28,-7,49,24,106,-177,57,51,-409,-15,-58,-435,38
42,7,-11,49,13,87,-164,44,28,-409,-29,-60,-434,29
30,-9,-21,49,7,60,-166,32,7,-409,-25,-61,-434,28
29,-6,-19,49,13,68,-183,32,14,-409,-7,-61,-434,32
32,3,-19,49,14,92,-184,42,20,-409,18,-61,-435,32
33,9,-26,49,15,93,-179,45,15,-409,28,-61,-436,30
40,15,-25,49,13,88,-182,35,13,-409,16,-61,-436,31
44,16,-20,49,10,92,-184,32,15,-409,16,-61,-435,32
38,20,-24,49,18,94,-183,46,17,-409,29,-60,-437,34
33,27,-27,49,17,93,-171,53,13,-409,22,-59,-438,33
16,-15,-20,52,-37,29,-183,34,8,-406,-155,-61,-429,-3
16,-14,-19,52,-29,25,-180,30,9,-408,-141,-61,-430,8
22,-15,-22,52,-23,33,-177,32,12,-412,-136,-61,-431,21
31,-16,-23,52,-19,34,-182,31,9,-410,-125,-61,-431,19
27,-12,-19,52,-23,32,-180,32,15,-408,-100,-61,-431,18
19,-7,-15,52,-17,53,-177,34,27,-408,-75,-61,-431,26
23,-7,-9,52,-11,66,-180,31,23,-408,-68,-61,-431,26
30,-8,0,52,-15,60,-181,30,16,-408,-72,-61,-431,22
28,-10,1,52,-19,50,-181,33,19,-405,-92,-61,-431,21
27,-14,-6,52,-17,37,-180,33,19,-407,-117,-61,-431,18
28,-13,-1,52,-14,42,-180,32,18,-412,-110,-61,-431,22
21,-10,3,52,-20,56,-182,32,16,-410,-99,-61,-431,19
17,-12,-13,52,-25,49,-183,32,11,-408,-112,-61,-432,3
24,-11,-22,52,-19,40,-179,32,12,-411,-123,-61,-433,1
31,-9,-16,52,-12,54,-178,33,18,-412,-118,-61,-433,6
28,-7,-18,52,-12,61,-182,32,13,-411,-119,-61,-432,3
25,-6,-16,52,-15,57,-189,31,11,-411,-126,-61,-432,9
29,-5,-1,52,-12,58,-190,35,16,-412,-121,-61,-433,24
32,-6,3,52,0,59,-177,37,15,-410,-119,-61,-432,28
31,-5,5,55,2,60,-169,31,14,-404,-129,-61,-430,24
26,-9,1,55,-11,56,-170,26,15,-400,-130,-61,-429,22
27,-10,-16,53,-12,57,-171,32,14,-402,-118,-61,-429,22
32,7,-13,52,8,79,-171,33,18,-401,-116,-61,-429,23
33,23,6,53,5,97,-173,30,21,-400,-128,-61,-429,22
32,19,2,51,-13,92,-177,39,16,-407,-132,-61,-429,22
30,15,-9,53,-1,86,-181,48,13,-412,-132,-59,-429,24
31,20,3,56,10,89,-181,47,15,-408,-123,-57,-430,27
30,20,4,52,-6,90,-179,49,17,-406,-104,-58,-430,25
33,16,-18,49,-20,87,-180,54,13,-411,-111,-58,-431,22
31,17,-17,51,-10,88,-174,52,12,-410,-120,-57,-431,22
26,22,6,53,4,91,-174,54,24,-407,-98,-58,-431,24
27,27,11,52,-1,96,-184,58,33,-408,-81,-60,-431,29
28,29,-9,53,-11,102,-185,56,32,-408,-84,-61,-431,29
27,30,-19,54,2,98,-180,53,32,-408,-76,-60,-431,29
29,27,-17,54,22,98,-183,52,38,-408,-58,-60,-431,43
33,23,-18,54,19,107,-179,56,39,-407,-47,-61,-431,51
24,-7,-24,53,41,57,-167,29,31,-410,-61,-59,-431,10
34,-5,-23,52,40,62,-167,34,37,-408,-70,-59,-431,19
33,-10,-23,49,46,67,-167,32,46,-407,-106,-59,-428,25
29,3,-22,52,51,75,-167,31,53,-406,-120,-59,-431,24
33,8,-18,53,51,87,-167,27,56,-410,-90,-59,-433,25
33,1,-19,49,51,93,-167,25,56,-409,-64,-59,-428,26
30,11,-22,50,64,92,-167,35,58,-402,-52,-59,-426,27
33,24,-21,55,79,97,-167,36,60,-405,-34,-59,-428,33
31,21,-20,52,81,112,-167,31,67,-407,-23,-60,-430,29
33,22,-23,49,83,124,-167,41,75,-403,-41,-61,-428,25
39,24,-23,51,103,125,-167,58,69,-407,-60,-59,-429,43
32,23,-21,51,107,116,-167,53,55,-412,-54,-60,-432,52
26,21,-17,50,92,103,-167,35,46,-410,-44,-61,-431,36
29,5,-17,51,74,92,-167,28,29,-408,-57,-59,-430,23
24,-10,-18,52,58,92,-167,27,16,-411,-67,-57,-432,27
22,-8,-7,52,50,92,-167,25,15,-411,-56,-59,-430,22
30,-9,4,51,48,87,-167,26,6,-409,-55,-60,-429,18
30,-13,6,49,44,81,-167,29,-2,-409,-62,-59,-431,21
25,-13,-3,51,41,68,-167,30,-3,-409,-60,-59,-431,12
27,-14,-12,53,43,70,-167,26,-5,-410,-51,-59,-428,7
27,-1,-5,52,50,90,-167,30,1,-409,-38,-59,-429,16
28,21,9,52,63,105,-167,32,14,-407,-34,-59,-429,24
34,25,6,52,78,119,-167,35,26,-406,-27,-59,-429,27
34,23,-1,52,81,128,-167,43,35,-404,-18,-59,-429,31
33,24,6,52,80,124,-167,41,33,-401,-29,-59,-429,31
36,24,3,53,79,121,-167,30,22,-401,-42,-59,-428,25
35,19,-9,52,79,120,-167,30,13,-409,-34,-59,-429,25
33,4,1,52,80,108,-167,37,5,-413,-34,-59,-432,27
31,-9,6,53,78,97,-167,32,-6,-408,-43,-59,-430,27
31,-8,-13,50,76,92,-167,23,-13,-407,-48,-61,-428,27
20,-41,-13,52,-19,54,-167,31,-5,-405,-131,-59,-424,-7
21,-20,-21,54,-15,57,-167,31,12,-412,-102,-59,-424,2
21,-3,-11,54,-6,68,-167,31,36,-413,-73,-59,-424,21
23,-10,-12,52,-7,85,-167,29,46,-408,-75,-59,-424,25
19,0,-20,52,-7,93,-167,32,53,-410,-77,-59,-424,21
22,22,-20,53,1,88,-167,32,62,-411,-72,-59,-424,24
32,25,-21,53,9,99,-167,30,76,-406,-69,-59,-424,26
34,21,-15,52,17,124,-167,45,86,-403,-62,-59,-424,28
30,23,3,54,23,120,-167,59,86,-403,-50,-59,-424,34
27,21,10,58,20,96,-167,54,81,-404,-46,-59,-424,31
26,9,9,57,12,89,-167,50,70,-409,-52,-58,-424,24
29,-4,11,55,9,93,-167,55,63,-410,-57,-59,-424,25
31,-10,7,55,11,87,-167,56,61,-404,-58,-61,-425,24
28,2,2,56,11,79,-167,54,61,-404,-54,-59,-422,22
30,21,2,55,10,86,-167,57,73,-409,-46,-59,-424,23
36,24,4,56,18,96,-167,59,89,-407,-26,-59,-427,30
36,21,3,55,39,100,-167,58,97,-404,-8,-59,-415,37
31,21,-7,56,43,105,-167,55,94,-405,-10,-59,-411,32
26,23,-22,57,36,119,-167,54,90,-408,-14,-59,-425,28
25,26,-21,59,47,122,-167,56,100,-406,-5,-59,-431,34
28,26,-6,56,58,100,-168,57,112,-406,-5,-59,-423,37
30,22,4,53,49,90,-167,54,99,-413,-13,-59,-425,32
31,19,3,54,50,96,-167,53,79,-416,-12,-59,-430,31
32,5,1,55,51,86,-169,57,77,-407,-12,-59,-427,31
31,-9,1,53,29,62,-163,57,74,-402,-25,-59,-426,26
30,-5,4,51,15,55,-155,56,57,-404,-36,-59,-426,28
31,-6,7,53,21,60,-155,57,45,-407,-35,-59,-426,32
28,-11,-6,53,-21,7,-161,45,-55,-408,-26,-63,-432,21
22,-12,0,55,-19,-1,-161,49,-58,-408,-45,-63,-429,18
24,-11,7,57,-17,10,-161,55,-47,-408,-94,-63,-429,22
27,-10,9,56,-16,29,-161,63,-36,-405,-84,-63,-430,28
