AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
13,-29,-29,-31,52,58,-254,50,35,-433,-66,-122,-706,-2
9,-32,-32,-38,54,62,-255,46,41,-440,-63,-123,-709,0
9,-33,-32,-43,49,62,-258,45,40,-439,-67,-121,-718,-2
14,-32,-28,-41,45,57,-256,48,35,-433,-71,-119,-714,-6
11,-35,-27,-42,47,60,-258,40,31,-435,-71,-119,-709,-6
12,-8,-24,-38,22,66,-258,26,-53,-435,-54,-119,-689,3
15,-15,-25,-38,9,55,-257,28,-52,-437,-63,-118,-684,1
18,-15,-27,-36,16,62,-258,31,-49,-435,-80,-122,-705,-4
14,-9,-26,-40,22,64,-259,28,-54,-433,-90,-115,-713,1
10,-9,-24,-46,21,59,-260,30,-59,-433,-88,-96,-695,16
11,-12,-23,-41,25,65,-260,30,-54,-434,-83,-90,-698,24
10,-8,-21,-32,25,54,-261,27,-60,-435,-94,-99,-717,18
10,-12,-19,-35,17,32,-257,40,-82,-437,-114,-101,-711,8
13,-36,-23,-42,11,28,-256,52,-95,-437,-123,-98,-703,4
13,-35,-30,-42,13,29,-259,38,-92,-437,-121,-99,-708,-2
11,-9,-30,-40,14,29,-260,28,-85,-437,-124,-100,-701,0
11,-15,-39,-35,44,65,-259,26,17,-434,-90,-119,-690,19
12,-15,-53,-42,34,54,-262,31,14,-437,-78,-121,-690,17
9,-23,-48,-40,23,65,-256,31,8,-438,-83,-122,-690,6
10,-37,-31,-33,15,57,-255,29,-11,-434,-109,-123,-690,-4
11,-38,-27,-29,6,39,-256,31,-29,-434,-124,-122,-690,-6
11,-37,-29,-34,-10,44,-257,31,-35,-434,-121,-122,-690,-6
12,-39,-24,-41,-11,59,-258,32,-30,-435,-114,-123,-690,-5
12,-23,-21,-43,1,62,-259,42,-17,-435,-119,-121,-690,-2
12,-1,-14,-24,48,90,-246,30,-27,-434,-45,-93,-682,1
11,18,0,-24,51,91,-249,46,-1,-439,-33,-92,-678,2
10,23,4,-25,68,103,-249,58,9,-440,-33,-92,-675,17
12,17,-3,-24,79,113,-246,51,8,-438,-32,-91,-678,27
