AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
11,20,13,30,-34,27,-120,56,38,-370,-37,-46,-242,17
12,21,11,32,-48,22,-117,49,33,-369,-40,-30,-240,15
11,27,9,27,-30,38,-120,54,55,-368,-38,-29,-241,17
11,29,10,28,-12,58,-119,58,78,-371,-31,-37,-241,20
11,26,13,39,-15,57,-118,54,79,-372,-37,-36,-241,9
10,25,12,39,-21,51,-118,54,73,-373,-42,-34,-241,-4
11,31,9,31,-24,57,-117,57,78,-377,-21,-36,-241,7
10,35,12,34,-20,53,-118,50,82,-373,0,-36,-244,25
10,29,12,44,-17,38,-121,39,81,-368,1,-35,-244,26
10,27,8,38,-12,36,-122,41,85,-371,4,-36,-243,22
10,29,8,23,-11,39,-120,51,86,-376,4,-37,-243,21
10,24,12,28,-27,32,-119,58,78,-374,-26,-33,-243,5
11,18,10,41,-38,24,-120,62,71,-374,-57,-38,-243,-6
10,19,8,35,-23,25,-120,59,76,-375,-47,-53,-243,11
10,28,11,19,-10,35,-121,58,89,-369,-26,-59,-243,27
12,29,10,24,-26,31,-121,60,89,-369,-38,-53,-243,17
10,23,7,36,-36,30,-117,58,84,-377,-58,-54,-243,6
7,38,10,37,-19,51,-115,58,101,-375,-43,-58,-243,6
9,58,12,38,-8,67,-115,63,132,-364,-13,-56,-243,3
12,58,11,37,-13,71,-115,65,144,-363,-4,-55,-243,8
12,58,10,29,-6,85,-115,65,141,-367,-6,-52,-243,21
12,65,9,22,12,98,-115,64,142,-367,-13,-52,-243,24
13,60,7,30,5,95,-115,58,141,-366,-33,-56,-243,15
14,56,7,36,-13,83,-115,54,132,-370,-55,-57,-243,3
12,47,3,27,-18,64,-116,44,113,-374,-71,-54,-243,-7
11,28,3,28,-18,50,-115,29,102,-374,-74,-54,-243,-4
13,20,7,36,-14,53,-115,35,105,-372,-75,-55,-243,1
11,27,6,41,-12,54,-116,56,105,-371,-84,-54,-243,-2
8,29,7,37,-18,52,-119,60,104,-372,-84,-54,-243,-1
10,26,13,26,-20,53,-120,56,107,-372,-75,-54,-243,-1
15,24,-20,28,40,34,-93,62,21,-369,24,-58,-243,27
12,19,-9,24,51,32,-119,57,12,-369,21,-57,-245,29
13,23,5,24,46,31,-117,48,1,-369,21,-55,-243,31
16,23,6,29,50,27,-112,50,3,-369,30,-54,-242,32
14,21,7,29,56,26,-114,57,5,-369,33,-57,-245,32
14,21,9,25,54,30,-103,53,-1,-369,27,-58,-244,32
15,22,5,21,53,32,-108,38,-2,-369,27,-57,-243,32
14,23,4,23,50,31,-121,30,2,-369,39,-57,-242,30
11,25,8,33,48,31,-104,40,1,-369,47,-58,-243,28
8,26,5,32,55,31,-86,50,-4,-369,45,-57,-243,35
14,27,6,19,65,31,-97,56,-2,-369,53,-57,-242,48
20,30,5,22,65,34,-98,51,5,-369,60,-57,-244,55
16,28,-12,32,65,36,-91,34,5,-369,38,-57,-249,51
13,25,-27,28,66,33,-96,36,-5,-369,14,-57,-252,43
15,28,-12,19,57,33,-95,50,-16,-369,26,-57,-251,36
15,23,10,22,47,33,-94,44,-22,-370,42,-58,-246,31
13,1,13,26,43,20,-95,24,-40,-368,11,-57,-242,27
11,-11,11,26,41,3,-94,24,-59,-368,-24,-57,-243,25
12,-4,16,24,43,-5,-93,42,-62,-376,-20,-58,-244,24
14,-7,14,24,44,3,-96,50,-60,-378,-12,-57,-243,21
14,-3,6,34,40,21,-93,53,-58,-369,-18,-53,-239,20
14,18,10,42,42,32,-92,60,-39,-369,-5,-57,-239,26
16,27,8,35,49,45,-103,60,-17,-377,21,-59,-241,31
13,22,-16,23,50,56,-107,59,-9,-373,28,-44,-241,29
10,22,-32,27,50,51,-98,55,0,-368,41,-40,-239,26
12,26,-19,40,52,42,-88,41,5,-370,70,-56,-240,28
12,16,-16,37,49,42,-97,29,0,-372,70,-59,-242,28
10,3,-26,21,41,37,-116,29,-3,-372,58,-52,-240,24
10,-3,-14,19,28,25,-112,22,-4,-373,75,-55,-241,21
9,-5,5,24,26,25,-92,17,-5,-373,84,-56,-241,22
8,1,9,20,46,31,-91,25,5,-371,76,-54,-241,25
11,15,10,23,49,34,-102,32,18,-369,91,-59,-241,27
15,22,9,31,26,39,-96,42,19,-368,89,-58,-242,23
15,24,7,28,29,52,-94,55,22,-371,43,-56,-242,22
12,31,8,32,45,66,-98,59,36,-371,21,-57,-243,29
9,30,-3,37,30,59,-96,51,35,-368,21,-58,-244,31
12,21,-23,28,13,36,-96,37,24,-368,-2,-57,-241,23
16,26,-19,22,20,29,-96,30,27,-371,-20,-56,-238,23
15,27,-7,24,24,42,-96,31,33,-370,-11,-55,-242,28
10,22,-17,21,11,47,-95,33,33,-366,-11,-56,-243,18
12,19,-29,21,6,38,-95,31,33,-371,-24,-56,-237,10
15,20,-15,26,15,39,-96,30,37,-375,-20,-55,-241,20
11,23,2,28,22,43,-95,31,39,-371,-8,-56,-238,25
12,11,1,33,16,33,-96,29,33,-368,-10,-56,-224,13
13,-9,-3,39,9,23,-105,27,20,-371,-18,-56,-228,2
10,-5,-2,22,13,29,-92,54,-20,-369,-11,-55,-242,17
14,-3,2,21,16,26,-94,55,-27,-372,-11,-53,-243,21
14,-11,1,24,25,27,-94,53,-29,-369,-3,-54,-243,26
13,4,4,26,24,26,-94,48,-16,-371,-8,-57,-244,23
22,21,3,26,16,28,-94,53,-10,-372,-14,-56,-245,21
27,5,-14,25,20,30,-94,54,-19,-371,-18,-55,-245,24
19,-3,-28,24,23,30,-94,35,-27,-371,-24,-56,-245,22
11,17,-21,26,12,30,-94,28,-24,-371,-22,-57,-245,20
